row_id,feature_a,feature_b,feature_c,is_premium,had_complaint,outcome
0,0.5723268286005092,-1.1253909616024265,0.48772719729766534,0,1,0
1,0.6065664309627994,-0.674735932629029,0.3549898347483028,0,1,0
2,-0.17332599539695678,-0.07074275602808892,0.965725321241525,0,0,0
3,0.9696418054117087,-1.3972097935818548,0.5097534643450699,0,1,0
4,0.1225800484618022,-0.5280875770049369,0.46213783473669756,0,0,0
5,0.20584326819869617,-0.05433817664622546,0.34069621072899325,0,0,0
6,-0.8469048868444777,0.8600222751945642,0.28032839637242635,0,0,0
7,0.31933112612245,-1.220829316934252,0.9152977287430739,0,1,0
8,0.2555370510114849,1.3164633180731076,0.9706176511794973,0,1,0
9,0.6389206188133412,0.5039543099737841,0.36748059457663385,1,1,0
10,-1.1899613485493905,-1.3287593519630607,0.9603476798005997,1,1,0
11,0.5816114227956017,-0.9855702273663982,0.2516503079864181,1,0,0
12,0.9264222239555479,1.4720207202409532,0.317777730244062,0,0,1
13,-1.102700906535162,0.4009192524814132,0.8090696930135339,0,1,0
14,-1.3371402093207154,-0.47159670073678456,0.22990300360997074,1,0,0
15,1.0973588365194855,0.02705277946938023,0.9118415042342197,1,0,0
16,-1.5236661283312833,0.03162279976671587,0.3184528719473957,1,1,0
17,-0.9303132371747932,0.7030674602947352,0.8699184277908822,0,0,0
18,-0.7750301567288908,-1.9513985056472447,0.5973043734442217,1,0,0
19,0.383128291851089,0.6682902210512106,0.5436367006189421,0,0,0
20,0.8141319198417044,2.0473072000666024,0.7937291085303025,0,1,1
21,-1.1034718044857408,0.24641351946660595,0.5521928728541649,0,1,0
22,-0.3558581963665749,-2.3495246181624214,0.889292694636501,1,0,0
23,-0.042687568207145664,-0.3783402926012661,0.2579412650385371,0,0,0
24,1.4481385590875393,1.384392632274582,0.23536285088720732,0,0,0
25,0.04526576151922153,-0.14893064526112468,0.9390097520514963,1,0,0
26,-2.021249539411691,0.7876950432313481,0.7644065784588523,1,1,0
27,0.379854735056014,-0.12421949696011977,0.8177059036736172,1,1,0
28,-0.42674589086929354,-1.7881980462633882,0.5129692114504703,0,0,0
29,-1.0119557873469296,0.651757799366976,0.018985794828078495,1,1,0
30,-1.1613309711945985,-0.7228473612418082,0.40401114337686495,0,0,1
31,-1.410221078415212,-0.3682276436261406,0.6503488849315237,1,1,0
32,0.761891911373489,0.7335972979798249,0.44674674000118153,0,1,0
33,-0.1756059299626591,-0.08589083244959043,0.9257159892953395,0,0,0
34,0.15575745866272223,-0.01452970017298917,0.41666747497891,0,0,0
35,1.4079595945424186,0.8443252381037446,0.2627475724122995,1,1,0
36,-1.2310568963663209,-0.9041807011277406,0.6748496333469371,0,0,1
37,1.2517754219595472,2.452320535354452,0.15762636803487484,1,1,0
38,-0.19782293073756846,-0.5684858504011112,0.9505458576743859,1,1,0
39,-0.9479381557452753,-0.778333295739651,0.21968856473526854,0,0,0
40,-0.06218579284116341,-0.36382086554875637,0.9474177968040751,0,0,0
41,0.6548117026377739,0.6907076922084803,0.2135410358371993,1,0,0
42,-2.037908699615878,0.7958183768673863,0.5198266188103478,1,1,0
43,-1.5013855875206132,-1.7594654056085008,0.4228815159251872,1,1,0
44,-0.061624862920279654,-0.6252288087655355,0.40820425574472197,0,1,0
45,-1.1917568885121717,1.4337741030774453,0.7564480427998913,0,0,0
46,0.3698998866213998,-0.5603899639799351,0.07787258719701784,1,0,0
47,-0.23756806726347343,0.2882948672632382,0.6453291792156014,1,0,1
48,0.7001702222228936,1.0760727511197756,0.5951624545043218,0,1,0
49,-1.5013581614566498,-0.7742091768024463,0.9368138963211279,0,0,0
50,-1.0143496483430607,-0.5417629689823413,0.41488670203782974,1,1,0
51,-0.01583591741380683,-0.24926176782522358,0.6494243877925363,1,1,0
52,0.7535760795167018,0.48432079050551774,0.4375944123919998,1,0,0
53,-0.06431626336646705,-0.5877016234549457,0.5725256606847813,0,0,1
54,0.8658690157878975,-0.030207682935578545,0.9398379546540193,1,1,1
55,-0.4696958436878206,-0.9353685404088502,0.7657369056307561,0,0,0
56,0.18415978538477762,0.6288071934465995,0.30465547257331915,0,1,0
57,-0.9140283777733004,1.0615103865783988,0.7947570826361814,0,0,0
58,0.8464065297874189,-1.0254433670300875,0.2374711398404138,1,0,0
59,-0.4309426799158039,1.4949291225867616,0.07627975208723792,0,1,1
60,0.7317977639277983,-0.1720897438519193,0.36204583321368533,0,0,1
61,-0.9148730720942868,-0.6901859880971515,0.744376083001715,1,1,0
62,1.3793884263400704,0.4905072973165294,0.8340030228406499,1,0,1
63,0.16237051473428615,1.346954764271442,0.5626872139508458,0,1,0
64,-0.7793723037077817,0.34815024263970024,0.26919395096856846,0,1,0
65,-0.14282654669184094,0.30045402515107783,0.45835860651798277,0,0,0
66,-1.9643775762205227,-0.39236966040931204,0.9660984335438936,1,0,0
67,-0.35774018692755843,0.6739731774206063,0.483533734561707,1,0,0
